id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,RoA,NPM,total_tenaga_kerja,Produktivitas,RPC,Strategi diperlukan
28828567,UD. Alif Pamungkas,Kesehatan,1.0,56.0,5497149.0,3347794.0,Tokopedia,479.0,Belum Terdaftar,2015.0,-2149355.0,171000000.0,479.0,-39.09944955103091,-64.20212832689228,57.0,8.403508771929825,6989.13152400835,Tingkatkan akses pembiayaan\, Perluas strategi pemasaran\, Daftarkan status legal
28828568,UD. Zidanar Panji,Perdagangan,5.0,44.0,7398384.0,39969661.0,Bukalapak,464.0,Terdaftar,2014.0,32571277.0,147000000.0,464.0,440.248532652536,81.49000062822648,49.0,9.46938775510204,86141.51077586207,Pertahankan kerja keras
28828569,UD. Winda Jayengprana,Jasa,74.0,51.0,8881762.0,25253355.0,Website Sendiri,383.0,Belum Terdaftar,2000.0,16371593.0,375000000.0,383.0,184.3282110013756,64.82937811629385,125.0,3.064,65935.65274151436,Daftarkan status legal
28828570,UD. Damaris Satria,Jasa,89.0,5.0,9576178.0,20700389.0,Website Sendiri,986.0,Belum Terdaftar,2003.0,11124211.0,282000000.0,986.0,116.1654576596216,53.7391398779994,94.0,10.48936170212766,20994.309330628803,Perluas strategi pemasaran\, Daftarkan status legal
28828571,UD. Qasya Wiratama,Jasa,91.0,59.0,9456853.0,4820810.0,Lazada,314.0,Belum Terdaftar,2002.0,-4636043.0,450000000.0,314.0,-49.02310525499339,-96.16730383483274,150.0,2.0933333333333333,15352.898089171977,Tingkatkan akses pembiayaan\, Tingkatkan efisiensi kerja\, Perluas strategi pemasaran\, Daftarkan status legal
28828572,UD. Grego Wiraatmaja Nara,Jasa,76.0,36.0,9072119.0,19297316.0,Bukalapak,661.0,Belum Terdaftar,2000.0,10225197.0,336000000.0,661.0,112.71012869209498,52.987664191227424,112.0,5.901785714285714,29194.124054462936,Daftarkan status legal
28828573,UD. Mika Bagaskara,Perdagangan,37.0,53.0,8132674.0,4699257.0,Lazada,714.0,Terdaftar,2003.0,-3433417.0,270000000.0,499.6553086787951,-42.21756583382047,-73.06297570020112,90.0,7.933333333333334,9404.997642126387,Tingkatkan akses pembiayaan\, Perluas strategi pemasaran
28828574,UD. Yora Selaras,Kesehatan,75.0,3.0,7072036.0,16709414.0,Tokopedia,460.0,Belum Terdaftar,2009.0,9637378.0,234000000.0,460.0,136.27444769794724,57.6763374227247,78.0,5.897435897435898,36324.81304347826,Daftarkan status legal
28828575,UD. Wenny Langit,Jasa,82.0,82.0,2745878.0,25556075.975191835,Shopee,120.0,Belum Terdaftar,2000.0,39104489.0,492000000.0,120.0,1424.1160386586732,153.01444962818266,164.0,0.7317073170731707,212967.2997932653,Tingkatkan efisiensi kerja\, Daftarkan status legal
28828576,UD. Fani Wijaya,Jasa,17.0,46.0,8136758.0,42552398.0,Website Sendiri,871.0,Belum Terdaftar,2006.0,34415640.0,189000000.0,871.0,422.96501874579536,80.87826213695408,63.0,13.825396825396826,48854.6475315729,Daftarkan status legal
28828577,UD. Karim Asmaralaya,Perdagangan,18.0,84.0,7862540.0,4911505.0,Bukalapak,736.0,Terdaftar,2014.0,-2951035.0,306000000.0,736.0,-37.5328456198633,-60.084128999156064,102.0,7.215686274509804,6673.240489130435,Tingkatkan akses pembiayaan\, Perluas strategi pemasaran
28828578,UD. Jafar Gandewa,Pendidikan,27.0,36.0,9106010.0,43942442.0,Tokopedia,580.0,Belum Terdaftar,2008.0,34836432.0,189000000.0,580.0,382.5652728253099,79.27741475997169,63.0,9.206349206349206,75762.83103448276,Daftarkan status legal
28828579,UD. Elyas Wiraatmaja,Perdagangan,11.0,81.0,4557522.0,21622680.0,Bukalapak,593.0,Belum Terdaftar,2015.0,17065158.0,276000000.0,593.0,374.4393993051488,78.92249249399242,92.0,6.445652173913044,36463.204047217536,Daftarkan status legal
28828580,UD. Erlangga Wiyata,Kesehatan,95.0,41.0,1961437.0,11702080.0,Website Sendiri,26.0,Belum Terdaftar,2004.0,9740643.0,408000000.0,26.0,496.6074872657138,83.23856100795756,136.0,0.1911764705882352,450080.0,Tingkatkan akses pembiayaan\, Tingkatkan efisiensi kerja\, Daftarkan status legal
28828581,UD. Hasna Saputranegara,Kesehatan,51.0,47.0,606340.0,13250815.0,Shopee,143.0,Belum Terdaftar,2019.0,12644475.0,294000000.0,143.0,2085.377016195534,95.42413051574565,98.0,1.4591836734693877,92663.04195804195,Tingkatkan akses pembiayaan\, Tingkatkan efisiensi kerja\, Daftarkan status legal
28828582,UD. Halim Surya,Jasa,76.0,99.0,5782560.0,19091583.0,Tokopedia,581.0,Belum Terdaftar,2000.0,13309023.0,525000000.0,581.0,230.15797501452644,69.71146918513776,175.0,3.32,32859.867469879515,Daftarkan status legal
28828583,UD. Farhan Mulyo,Pendidikan,86.0,60.0,7888385.0,42399115.0,Website Sendiri,321.0,Belum Terdaftar,2009.0,34510730.0,438000000.0,321.0,437.487901515963,81.39493005927129,146.0,2.198630136986301,132084.47040498443,Tingkatkan efisiensi kerja\, Daftarkan status legal
28828584,UD. Farhan Sukadarma,Perdagangan,99.0,61.0,1242635.0,43856444.0,Tokopedia,661.0,Belum Terdaftar,2016.0,42613809.0,480000000.0,661.0,3429.310215791443,97.1665851431092,160.0,4.13125,66348.6293494705,Tingkatkan akses pembiayaan\, Daftarkan status legal
28828585,UD. Qisha Saprahan,Perdagangan,57.0,54.0,8835217.0,49273062.0,Bukalapak,542.0,Belum Terdaftar,2022.0,40437845.0,333000000.0,542.0,457.6893244387773,82.06886959856483,111.0,4.882882882882883,90909.70848708488,Daftarkan status legal
28828586,UD. Tasya Tunggul,Kesehatan,93.0,49.13843175217812,8613350.0,38233714.0,Website Sendiri,852.0,Terdaftar,2024.0,29620364.0,387000000.0,852.0,343.8890095026906,77.47184592111559,142.13843175217812,5.994156467727765,44875.25117370892,Pertahankan kerja keras
28828587,UD. Yudi Kamajaya,Pendidikan,21.0,14.0,6784828.0,14384473.0,Website Sendiri,203.0,Terdaftar,2018.0,7599645.0,105000000.0,203.0,112.00939802748132,52.83227963930274,35.0,5.8,70859.47290640394,Pertahankan kerja keras
28828588,UD. Putri Wiraatmaja Rafif,Perdagangan,44.0,58.0,4791730.0,25556075.975191835,Website Sendiri,904.0,Terdaftar,2016.0,27949766.0,306000000.0,904.0,583.2917547524589,109.36642240041785,102.0,8.862745098039216,28269.99554777858,Pertahankan kerja keras
28828589,UD. Olivia Kusumasari,Pendidikan,61.0,62.0,7010703.0,33753747.0,Shopee,669.0,Terdaftar,2020.0,26743044.0,369000000.0,669.0,381.4602330180012,79.22985261458528,123.0,5.439024390243903,50454.03139013453,Pertahankan kerja keras
28828590,UD. Dea Tunggul Ziva,Perdagangan,41.0,65.0,3938582.0,46254838.0,Website Sendiri,841.0,Terdaftar,2014.0,42316256.0,318000000.0,841.0,1074.4033258670254,91.48503773810644,106.0,7.933962264150943,54999.80737217598,Pertahankan kerja keras
28828591,UD. Iqra Panji,Pendidikan,66.0,41.0,4765067.0,35105093.0,Tokopedia,633.0,Belum Terdaftar,2002.0,30340026.0,321000000.0,633.0,636.7177208631065,86.42628008420317,107.0,5.91588785046729,55458.28278041074,Daftarkan status legal
